id,file,percent,hp,time captured,time parsed,manual
flauros,Screenshot (31).png,100.0,6.0,1545377966,1545389064.0,6
forneus,Screenshot (32).png,100.0,3.0,1545377969,1545389095.0,3
barbatos,Screenshot (33).png,99.98,311.0,1545377970,1545389109.0,311
halphas,Screenshot (34).png,100.0,3.0,1545377973,1545389149.0,3
amon_ra,Screenshot (35).png,100.0,1.0,1545377977,1545389163.0,1
sabnock,Screenshot (36).png,100.0,0.0,1545377980,1545389176.0,0
flauros,Screenshot (37).png,100.0,6.0,1545377983,1545389190.0,6
forneus,Screenshot (38).png,100.0,3.0,1545377987,1545389203.0,3
forneus,Screenshot (39).png,100.0,8.0,1545378250,1545389217.0,8
barbatos,Screenshot (41).png,99.97,684.0,1545378255,1545389272.0,684
halphas,Screenshot (42).png,100.0,7.0,1545378259,1545389305.0,7
amon_ra,Screenshot (43).png,100.0,4.0,1545378262,1545389318.0,4
sabnock,Screenshot (44).png,100.0,7.0,1545378266,1545389331.0,7
flauros,Screenshot (45).png,100.0,19.0,1545378269,1545389350.0,19
forneus,Screenshot (46).png,100.0,8.0,1545378272,1545389382.0,8
flauros,Screenshot (47).png,100.0,26.0,1545378426,1545389396.0,26
forneus,Screenshot (48).png,100.0,14.0,1545378429,1545389410.0,14
flauros,Screenshot (55).png,100.0,58.0,1545378774,1545386354.0,58
forneus,Screenshot (56).png,100.0,42.0,1545378776,1545386355.0,42
barbatos,Screenshot (57).png,99.89,2129.0,1545378780,1545389533.0,2129
halphas,Screenshot (58).png,100.0,26.0,1545378783,1545386356.0,26
amon_ra,Screenshot (59).png,100.0,15.0,1545378786,1545389580.0,15
sabnock,Screenshot (60).png,100.0,25.0,1545378790,1545386358.0,25
flauros,Screenshot (61).png,100.0,58.0,1545378793,1545386360.0,
flauros,Screenshot (61).png,100.0,58.0,1545378793,1545389608.0,
forneus,Screenshot (62).png,100.0,42.0,1545378797,1545386361.0,
forneus,Screenshot (62).png,100.0,42.0,1545378797,1545389621.0,
flauros,Screenshot (63).png,100.0,77.0,1545378911,1545386362.0,
flauros,Screenshot (63).png,100.0,77.0,1545378911,1545389635.0,
forneus,Screenshot (64).png,100.0,55.0,1545378914,1545386363.0,
